id,orden_cedula,nombre,alias,plan_de_gobierno_url
4,7,ACCION POPULAR,Acción Popular,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16511.pdf
1257,21,ALIANZA PARA EL PROGRESO,Alianza para el Progreso,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16531.pdf
2173,8,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,Avanza País,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16535.pdf
2191,20,DEMOCRACIA DIRECTA,Democracia Directa,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16480.pdf
2160,3,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",Frente Amplio,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16526.pdf
2646,1,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,Frepap,
1366,13,FUERZA POPULAR,Fuerza Popular,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16490.pdf
1264,10,JUNTOS POR EL PERU,Juntos por el Perú,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16479.pdf
14,18,PARTIDO DEMOCRATICO SOMOS PERU,Somos Perú,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16494.pdf
2840,4,PARTIDO MORADO,Partido Morado,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16521.pdf
179,2,PARTIDO NACIONALISTA PERUANO,Partido Nacionalista,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16538.pdf
2235,14,PARTIDO POLÍTICO CONTIGO,Partido Político Contigo,
2218,19,PARTIDO POLITICO NACIONAL PERU LIBRE,Perú Libre,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16542.pdf
15,12,PARTIDO POPULAR CRISTIANO - PPC,Partido Popular Cristiano,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16497.pdf
55,5,PERU PATRIA SEGURA,Perú Patria Segura,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16524.pdf
2731,9,PODEMOS PERU,Podemos Perú,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16536.pdf
5,17,RENACIMIENTO UNIDO NACIONAL,Renacimiento Unido Nacional,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16525.pdf
22,16,RENOVACION POPULAR,Renovación Popular,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16482.pdf
47,15,UNION POR EL PERU,Unión por el Perú,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16530.pdf
21,6,VICTORIA NACIONAL,Victoria Nacional,https://declara.jne.gob.pe/ASSETS/PLANGOBIERNO/FILEPLANGOBIERNO/16517.pdf