table_name,table_name_en
afiliacion,affiliation
bien_inmueble,goods_immovable
bien_mueble,goods_movable
bien_otro,goods_other
candidato,candidate
data_ec,data_ec
dirty_lists,dirty_lists
educacion,education
experiencia,experience
extra_data,extra_data
ingreso,income
locations,locations
partidos_alias,political_party_alias
proceso_electoral,electoral_process
redes_sociales,social_networks
sentencia_civil,judgment_civil
sentencia_penal,judgment_penal
sentencias_ec,judgment_ec
congresista,congressperson
partidos_politicos,political_party
firmante,authorship
iniciativa_agrupada,grouped_initiative
proyecto_ley,bill
seguimiento,tracking